iter	Logloss
0	0.6858929614
1	0.6795852663
2	0.6754749981
3	0.6719948549
4	0.6699369414
5	0.6683590109
6	0.6664618084
7	0.665303067
8	0.6631041882
9	0.6621553828
10	0.6613934845
11	0.6604549444
12	0.6591113275
13	0.6584631951
14	0.657817599
15	0.6574621273
16	0.6568523518
17	0.6565109692
18	0.6551461129
19	0.6541719589
20	0.6529516268
21	0.652420324
22	0.6516962002
23	0.6514195889
24	0.6507580986
25	0.6505704455
26	0.6503538582
27	0.6486294038
28	0.6474050596
29	0.6466644919
30	0.6460105179
31	0.6451372672
32	0.6445974818
33	0.6441384712
34	0.6428432842
35	0.6421773112
36	0.6412406638
37	0.6405624202
